Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"De La Cruz, Monica",Representative,Texas,15,Republican,House: 2023-Present,Yes,RepMonicaDLC,'1861922958186299525',"Parry's Pizzeria &amp; Taphouse in Pharr celebrated its one-year anniversary, and our team was honored to join the festivities! It’s wonderful to see the impact this local business has had on our community. Congratulations on a successful year, and here’s to many more! https://t.co/yVlw0qxAK6",en,Tweet,0,8,0,1,289.0,2024-11-28 00:00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GdUtJZLWYAAifOh.jpg
"Justice, James C.",Senator,West Virginia,,Republican,Senate: 2025-Present,Yes,JimJustice_WV,'1861923492532269196',"Huge win! Congrats to @Coach_DeVries 
and @WVUhoops for picking up the BIG win over the Zags. Keep it going! Let’s Go!",en,Tweet,0,281,16,2,12379.0,2024-11-28 00:02:08,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Davis, Donald G.",Representative,North Carolina,1,Democratic,House: 2023-Present,Yes,RepDonDavis,'1861923881470095487',Pie and thanks for Franklin County! We were glad to deliver pies to show gratitude to first responders and 911 telecommunicators for their tireless work. #PiesOfThanks2024 https://t.co/cBBHCcfwY4,en,Tweet,0,2,0,0,183.0,2024-11-28 00:03:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#PiesOfThanks2024,,photo,https://pbs.twimg.com/media/Gdbh5u-XwAA36Uw.jpg
"Moreno, Bernie",Senator,Ohio,,Republican,Senate: 2025-Present,Yes,berniemoreno,'1861924981409517648',"It’s simple: tear up Biden’s EV mandates, bring auto manufacturing back to America, and give tax breaks to companies who invest in America instead of shipping our jobs overseas.

We can make this country great again and President Trump is leading the way! https://t.co/UzsrbTOrBN",en,Tweet,8,285,56,27,10204.0,2024-11-28 00:08:03,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/ext_tw_video/1861924793647333376/pu/vid/avc1/1280x720/QJvVSwbYle31rt7U.mp4?tag=12
"Gomez, Jimmy",Representative,California,34,Democratic,House: 2017-Present,Yes,RepJimmyGomez,'1861925226927337948',"#TeamGomez is getting in the festive spirit at Lou Costello Senior Center's Thanksgiving Party! 🦃

We had the pleasure of speaking to #BoyleHeights residents about the issues impacting them and shared ways our office can support them and their community this holiday season. https://t.co/qgg2V6ZZQD",en,Tweet,0,8,2,2,814.0,2024-11-28 00:09:01,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#TeamGomez,#BoyleHeights",,photo,"https://pbs.twimg.com/media/GdbjH16WUAA1Bor.jpg,https://pbs.twimg.com/media/GdbjH16WYAAb_Bx.jpg,https://pbs.twimg.com/media/GdbjH13XAAAivuD.jpg"
"Carbajal, Salud O.",Representative,California,24,Democratic,House: 2017-Present,Yes,RepCarbajal,'1861925480296772004',"In 2016, I was elected the same night Donald Trump was — and I fully understand the challenges that we're facing. 

I will continue fighting for and defending the values of the Central Coast, always.

Read more of my thoughts on what's next. ⤵️
https://t.co/DvhuMR4sFo",en,Tweet,2,12,3,5,986.0,2024-11-28 00:10:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.independent.com/2024/11/20/i-was-elected-the-same-night-as-donald-trump/,,
"Rosen, Jacky",Senator,Nevada,,Democratic,"Senate: 2019-Present, House: 2017-2019",Yes,SenJackyRosen,'1861926976556343535',"Last week, my Washoe County Lands Bill PASSED committee! Here's a quick look at why this bill is so important for Northern Nevada ⬇️ https://t.co/0CAoqhFQlV",en,Tweet,1,20,4,8,11907.0,2024-11-28 00:15:58,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1861926376921579520/vid/avc1/1920x1080/rBVR3uCwihG1_jaI.mp4?tag=16
"Jayapal, Pramila",Representative,Washington,7,Democratic,House: 2017-Present,Yes,RepJayapal,'1861927020889767969',"As Trump fills out his cabinet, we can all see the obvious trend:

There’s no emphasis on competence or experience — the only thing that matters is absolute blind loyalty.

He should be focusing on your needs and priorities, not his own.",en,Tweet,4,213,60,168,10576.0,2024-11-28 00:16:09,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Whitehouse, Sheldon",Senator,Rhode Island,,Democratic,Senate: 2007-Present,Yes,SenWhitehouse,'1861927173998666072',"Disappointing that for four years Biden DOJ refused to even give such a case an honest look — though they had won their similar tobacco case years ago. 
https://t.co/OazQRIxUcJ",en,Tweet,7,103,32,9,6336.0,2024-11-28 00:16:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://www.nytimes.com/2024/11/27/climate/maine-climate-change-oil-company-lawsuit.html,,
"Thompson, Mike",Representative,California,4,Democratic,House: 1999-Present,Yes,RepThompson,'1861928331240669523',"Political violence has no place in our society.  I unequivocally condemn any threats against political nominees and their families. 
https://t.co/lP30TSMCd6",en,Tweet,1,8,2,3,575.0,2024-11-28 00:21:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,https://apnews.com/article/trump-transition-bomb-threats-swatting-0a7f2166087f7c455cbba5b717dae439,,
