Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"De La Cruz, Monica",Representative,Texas,15,Republican,House: 2023-Present,Yes,RepMonicaDLC,'1907568732484067594',"Our team had a great meeting with @DaleMurden, President of Texas Citrus Mutual. They discussed the disaster aid funds I recently helped secure for South Texas growers, as well as key priorities for the upcoming Farm Bill. I'm proud to stand with our citrus industry and will keep fighting to make sure their voices are heard in Washington.",en,Tweet,0,7,2,1,306.0,2025-04-03 00:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,photo,https://pbs.twimg.com/media/GneeJwSWkAAIPUG.jpg
"Costa, Jim",Representative,California,21,Democratic,House: 2005-Present,Yes,RepJimCosta,'1907568749223334305',"Tariffs are a tax on American consumers and producers. A trade war drives up costs on everyday essentials, from groceries and cars to building materials. 

Hardworking families in the Valley and across the country will feel the impact in their daily lives.",en,Tweet,0,6,4,1,434.0,2025-04-03 00:00:05,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer App</a>",,,,
"García, Jesús G. ""Chuy""",Representative,Illinois,4,Democratic,House: 2019-Present,Yes,RepChuyGarcia,'1907568867268063273',"Get to know us better! The @HispanicCaucus 
is launching ""Tu Caucus"", a more personal look at those of us who represent you.",en,Tweet,1,3,1,1,858.0,2025-04-03 00:00:33,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
"Green, Mark E.",Representative,Tennessee,7,Republican,House: 2019-2025,Yes,RepMarkGreen,'1907568892098068696',"The Houthis remain a serious threat to the lives and safety of our servicemembers. The U.S. must show strength and send a clear message to the Iranian regime's terrorist proxies.

https://t.co/X6BqAnshaa",en,Tweet,3,43,7,121,37653.0,2025-04-03 00:00:39,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,https://www.foxnews.com/world/houthis-claim-responsibility-strikes-against-us-ships-report,,
"Schumer, Charles E.",Senator,New York,,Democratic,"Senate: 1999-Present, House: 1981-1999",Yes,SenSchumer,'1907568924595499358',"Trump called this “Liberation Day”

Well tonight the Senate can liberate Americans from his reckless, inflationary trade war with Canada

Our resolution will undo Trump’s trade war with Canada that will only help fund his billionaire tax cuts—while making families pick up the tab",en,Tweet,7,496,141,518,37384.0,2025-04-03 00:00:47,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Cherfilus-McCormick, Sheila",Representative,Florida,20,Democratic,House: 2022-Present,Yes,CongresswomanSC,'1907568929062388110',Always great to see @mayorkeithjames in DC! Thanks for stopping by my office to share how Washington can best support @thecityofwpb's non-stop growth and drive opportunity across the community. https://t.co/5f0rom7cI5,en,Tweet,0,2,1,0,242.0,2025-04-03 00:00:48,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,photo,https://pbs.twimg.com/media/GnkL1RYX0AEaVlj.jpg
"Moran, Jerry",Senator,Kansas,,Republican,"Senate: 2011-Present, House: 1997-2011",Yes,JerryMoran,'1907569074697023872',"During a Commerce Committee hearing, I questioned Boeing CEO Kelly Ortberg on his company's plans to acquire Spirit AeroSystems - the largest private employer in Kansas - and keeping jobs in our state.

Watch my questions and his answers below⬇️ https://t.co/Ci3wIpEDQs",en,Tweet,2,16,4,12,3484.0,2025-04-03 00:01:22,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>",,,video,https://video.twimg.com/amplify_video/1907568816420188160/vid/avc1/1280x720/NcUkq9cZldgbvADd.mp4?tag=14
"Donalds, Byron",Representative,Florida,19,Republican,House: 2021-Present,Yes,RepDonaldsPress,'1907569086797611125',"I am proud to announce the introduction of my 12th piece of legislation, H.R. 2422 – ""The Bipartisan CAPE Canaveral Act.""

H.R. 2422 requires the transfer of the @NASA Headquarters to Cape Canaveral in Brevard County, Florida.

See @thehill exclusive here: https://t.co/WdU0VklyRe https://t.co/LuoQvq8pPp",en,Tweet,5,384,69,32,49012.0,2025-04-03 00:01:25,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://thehill.com/homenews/state-watch/5226759-nasa-headquarters-move-florida/,photo,https://pbs.twimg.com/media/GnkIXiQXUAA4Vro.jpg
"Donalds, Byron",Representative,Florida,19,Republican,House: 2021-Present,Yes,RepDonaldsPress,'1907569089268138368',"Thank you @MarioDB @RepDWStweets & @RepMoskowitz for co-leading this important bill for the Sunshine State.

Thank you @RepAaronBean @VernBuchanan @RepFranklin @RepCarlos @RepBrianMast @RepMillsPress @RepRutherfordFL @RepMariaSalazar @RepDarrenSoto & @RepWebster for your support.

Thank you @SenAshleyMoody & @SenRickScott for introducing H.R. 2422's Senate companion – S. 1013

See bill text of H.R. 2422 here: https://t.co/zuh6e8dZHq",en,Reply,0,56,8,2,8993.0,2025-04-03 00:01:26,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GnkJG-oWsAAUkfk.jpg,https://pbs.twimg.com/media/GnkKzjDWkAADEz9.jpg"
"Donalds, Byron",Representative,Florida,19,Republican,House: 2021-Present,Yes,RepDonaldsPress,'1907569091986030964',"The long and storied legacy of human space flight is inextricably linked with Cape Canaveral, Florida.

Home to the Kennedy Space Center, Cape Canaveral has been the launch-site of some of the most consequential scientific breakthroughs in human history.

It's time to bring NASA Headquarters to Florida's aptly-named 'Space Coast' and I'm proud to lead my colleagues in this important, bipartisan, and bicameral initiative for our nation.",en,Reply,1,63,8,1,6431.0,2025-04-03 00:01:27,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GnkJOC9W8AA1vUo.png
