Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Massie, Thomas",Representative,Kentucky,4,Republican,House: 2012-Present,Yes,RepThomasMassie,'1887290110057812435',"Thank you to @RepGregSteube for cosponsoring my bill to eliminate the Federal Department of Education (HR 899). 

Unelected bureaucrats in Washington, D.C. should not be in charge of our children’s intellectual and moral development.",en,Tweet,60,11308,1630,334,119425.0,2025-02-06 00:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
"Fedorchak, Julie",Representative,North Dakota,At Large,Republican,House: 2025-Present,Yes,RepFedorchak,'1887290110783136252',"ICYMI: I sent my first newsletter this morning! Please subscribe to receive regular updates on everything I’m doing as your representative in Washington D.C. ⬇️
https://t.co/sQslfEsU3D",en,Tweet,0,5,1,1,388.0,2025-02-06 00:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://fedorchak.house.gov/contact/newsletter-subscribe,,
"Friedman, Laura",Representative,California,30,Democratic,House: 2025-Present,Yes,RepFriedmanCA,'1887290167607894100',"I refuse to act like this is business as usual. I will fight Trump’s overreach at every step. 

The illegal order to cut federal investments threatens the U.S’s position as a global leader. We can’t risk backsliding because of Trump and Elon’s executive coup. https://t.co/QISOjLFfMG",en,Tweet,0,15,4,11,1954.0,2025-02-06 00:00:14,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1887289572108926976/vid/avc1/1920x1080/8YjgSdjlrTLP9Yvj.mp4?tag=16
"Kiggans, Jennifer A.",Representative,Virginia,2,Republican,House: 2023-Present,Yes,RepJenKiggans,'1887290298415632545',"Incredible to see @Riley_Gaines_ at the White House today as @POTUS signed an Executive Order to ban biological males from competing in women's sports!

Her hard work is one of the reasons today was possible. Great job and congrats, Riley! https://t.co/7cXrP1pAWd",en,Tweet,0,43,9,7,1521.0,2025-02-06 00:00:45,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GjEAgjjW0AAP7Os.jpg
"Green, Mark E.",Representative,Tennessee,7,Republican,House: 2019-2025,Yes,RepMarkGreen,'1887290319147868164',"For decades, USAID has undermined diplomatic efforts abroad. This rogue organization has pushed a radical left agenda at the expense of U.S. national interests for too long; I am glad President Trump is cleaning house. 

https://t.co/V0s459hLWM",en,Tweet,4,68,13,27,1305.0,2025-02-06 00:00:50,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,https://www.washingtonexaminer.com/news/world/3310526/usaid-national-interest-insubordination-rooted-out/,,
"Larson, John B.",Representative,Connecticut,1,Democratic,House: 1999-Present,Yes,RepJohnLarson,'1887290384964866423',"It is an outrage that Elon Musk and his 'DOGE' cronies have gained access to sensitive taxpayer information.
 
We are demanding answers from @USTreasury on what information they have accessed and who authorized this unprecedented breach of confidentiality. https://t.co/8Ny5qbZ1Jb",en,Tweet,0,14,6,4,2976.0,2025-02-06 00:01:06,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GjEAmC_XQAAC2ow.jpg,https://pbs.twimg.com/media/GjEAmCBWgAAMJPi.jpg,https://pbs.twimg.com/media/GjEAmDAXQAACWHQ.jpg"
"Hawley, Josh",Senator,Missouri,,Republican,Senate: 2019-Present,Yes,SenHawleyPress,'1887290597666636239',Tune in to @FoxNews to hear the latest from Senator Hawley with @IngrahamAngle!,en,Tweet,0,16,1,6,2179.0,2025-02-06 00:01:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Shaheen, Jeanne",Senator,New Hampshire,,Democratic,Senate: 2009-Present,Yes,SenatorShaheen,'1887290610727391662',Trump’s tariffs will hurt small businesses. https://t.co/g2w2dWpVHN,en,Tweet,0,13,4,21,2121.0,2025-02-06 00:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,https://pbs.twimg.com/media/GjDnvR6XkAAWg-J.jpg
"Greene, Marjorie Taylor",Representative,Georgia,14,Republican,House: 2021-Present,Yes,RepMTG,'1887290661256528325',"I had such a wonderful time at The White House with REAL female athletes and members of Congress.

The Executive Order President Trump signed this afternoon will ensure female athletes are able to compete without the fear of being preyed upon or beaten down by mentally ill men.

Common sense is back!!",en,Tweet,61,9370,1009,493,121225.0,2025-02-06 00:02:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GjEAzIgXAAA2Ae4.jpg,https://pbs.twimg.com/media/GjEAzIhXsAAmAWP.jpg,https://pbs.twimg.com/media/GjEAzIgWAAAnPNs.jpg,https://pbs.twimg.com/amplify_video_thumb/1887290597335076864/img/BqtkoFQrU2oLBnKe.jpg"
"Mace, Nancy",Representative,South Carolina,1,Republican,House: 2021-Present,Yes,RepNancyMace,'1887290862327243236',Women and Girls will keep winning. Thank you @POTUS! 🏆,en,Tweet,6,1184,99,72,45170.0,2025-02-06 00:03:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
