Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Evans, Dwight",Representative,Pennsylvania,3,Democratic,House: 2016-Present,Yes,RepDwightEvans,'1927862453519487093',"As the childhood hunger crisis worsens in Philly and beyond, we need to invest more into programs like SNAP - not less.

Yet, Trump and Congressional Republicans’ #BigUglyBill cuts billions from this program, stealing from the working class just to give MORE tax cuts to their billionaire buddies.

https://t.co/3gVhIsdWa2",en,Tweet,0,4,3,2,609.0,2025-05-29 00:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",#BigUglyBill,,,
"Kelly, Robin L.",Representative,Illinois,2,Democratic,House: 2013-Present,Yes,RepRobinKelly,'1927862594297061673',"Chicago normally experiences high levels of gun violence during Memorial Day weekend — but not this weekend.

This is heartening, but we need to keep up the good work and support community violence intervention groups that deescalate situations, offer job training, and more. 
https://t.co/D0RCKujAPo",en,Tweet,0,2,2,3,346.0,2025-05-29 00:00:35,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
"Schumer, Charles E.",Senator,New York,,Democratic,"Senate: 1999-Present, House: 1981-1999",Yes,SenSchumer,'1927862616539517089',Donald “Tough On Crime” Trump https://t.co/KxnMxpPPfR,en,Tweet,11,806,225,454,39203.0,2025-05-29 00:00:40,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GsEk1T1WQAAn23H.jpg
"Owens, Burgess",Representative,Utah,4,Republican,House: 2021-Present,Yes,RepBurgessOwens,'1927862952079601881',"After seven long years, Santaquin Canyon is open once again! Proud to stand with Mayor Olson, local leaders, and so many families to celebrate this long-awaited comeback — and grateful to everyone who came together to rebuild this gateway to adventure for all Utahns to enjoy. https://t.co/q1MlM5uWd4",en,Tweet,1,85,13,2,1196.0,2025-05-29 00:02:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1927813597419167745/vid/avc1/2880x1800/lQ32yKKM_PoDjeXG.mp4?tag=21
"Jayapal, Pramila",Representative,Washington,7,Democratic,House: 2017-Present,Yes,RepJayapal,'1927863014838894703',"Unlike my Republican colleagues, as an elected official, I will never forget who I serve — the people.

Together, we will continue to stand up to Trump’s big, beautiful betrayal of American families. https://t.co/IIYLAlnFcR",en,Tweet,3,224,71,665,19527.0,2025-05-29 00:02:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1927861344486723584/vid/avc1/1080x1350/QJrUm0KxPeUL08cI.mp4?tag=21
"Neguse, Joe",Representative,Colorado,2,Democratic,House: 2019-Present,Yes,RepJoeNeguse,'1927863774343516647',Grateful to everyone who attended our town halls today in Allenspark and Gold Hill! 🏔️🏔️🏔️ https://t.co/brneEFjSqA,en,Tweet,0,70,4,7,3009.0,2025-05-29 00:05:16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GsEl4c_WYAEtW5c.jpg,https://pbs.twimg.com/media/GsEl4dBXUAAZhKr.jpg,https://pbs.twimg.com/media/GsEl4c_XkAE3eHO.jpg,https://pbs.twimg.com/media/GsEl4c_WAAAKtgW.jpg"
"Guthrie, Brett",Representative,Kentucky,2,Republican,House: 2009-Present,Yes,RepGuthrie,'1927864106737934736',"Yesterday, I had the opportunity to meet with officials in Meade County and the City of Brandenburg to discuss local water and regional development issues. Great to see you! https://t.co/02VzEtKbnf",en,Tweet,0,11,1,3,613.0,2025-05-29 00:06:35,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GsElo2rWcAAGMOM.jpg,https://pbs.twimg.com/media/GsElo3IWcAAD8sH.jpg,https://pbs.twimg.com/media/GsElo2rW8AAvQWA.jpg,https://pbs.twimg.com/media/GsElo2mWQAA_Iwf.jpg"
"Klobuchar, Amy",Senator,Minnesota,,Democratic,Senate: 2007-Present,Yes,SenAmyKlobuchar,'1927864138581082287',".@PattyMurray said it best: Hands off SNAP.
 
House Republicans’ proposed cuts to SNAP will rip the rug out from under families who count on food assistance for healthy meals.",en,Tweet,4,83,29,126,5410.0,2025-05-29 00:06:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Nunn, Zachary",Representative,Iowa,3,Republican,House: 2023-Present,Yes,ZachNunn,'1927864800366702745',"Honored to join the 1st Squadron, 113th Cavalry Regiment at their deployment send-off this afternoon. To all Iowa National Guard troops deploying—and the families standing strong behind them—thank you. Iowa is proud of you, and I’ll keep fighting to support you in Congress. 🇺🇸 https://t.co/Ii2ccdOSlv",en,Tweet,0,4,1,1,380.0,2025-05-29 00:09:21,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GsEmtApWsAA3Tq3.jpg,https://pbs.twimg.com/media/GsEms__XUAAsqx3.jpg,https://pbs.twimg.com/media/GsEmtAYWIAAuPgb.jpg,https://pbs.twimg.com/media/GsEmtAnWIAAiLWg.jpg"
"Hickenlooper, John W.",Senator,Colorado,,Democratic,Senate: 2021-Present,Yes,SenatorHick,'1927865337275412753',"Don’t get it twisted: cutting research funding and peddling disinformation is an attack against American jobs, innovation, and science.",en,Tweet,0,26,11,10,1246.0,2025-05-29 00:11:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
