Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Sullivan, Dan",Senator,Alaska,,Republican,Senate: 2015-Present,Yes,SenDanSullivan,'1874606929584038013',"Julie and I are praying for the victims of the evil terrorist attack in New Orleans and for the families of those whose lives were lost. We are also deeply grateful to law enforcement and first responders who rushed to the scene. Going forward, we need to get the Trump Administration’s national security team in place quickly, secure our borders, and hold accountable all those who were involved.",en,Tweet,0,62,8,16,3874.0,2025-01-02 00:01:35,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,,,
"Peters, Gary C.",Senator,Michigan,,Democratic,"Senate: 2015-Present, House: 2009-2015",Yes,SenGaryPeters,'1874607309932069183',"My thoughts are with the victims of last night’s horrific terrorist attack in New Orleans and their loved ones. 

I’m also extremely grateful to the first responders who ran headfirst into danger.",en,Tweet,1,26,5,6,3181.0,2025-01-02 00:03:05,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Pressley, Ayanna",Representative,Massachusetts,7,Democratic,House: 2019-Present,Yes,RepPressley,'1874607427590684833',"Heartbroken by the horrific attack in New Orleans last night.

This is no way to begin the new year and violence like this must always be condemned.

I'm praying for the victims, their loved ones, and everyone impacted.",en,Tweet,1,112,18,35,17784.0,2025-01-02 00:03:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
"Kustoff, David",Representative,Tennessee,8,Republican,House: 2017-Present,Yes,RepDavidKustoff,'1874608454670696859',"The violent terrorist attack in New Orleans that killed and injured innocent people celebrating the New Year was an act of pure evil. Roberta and I extend our thoughts and prayers to the victims and their families during this tragic time. 

Thank you to the brave law enforcement officers who acted quickly to prevent further violence. We must ensure local, state, and federal partners have the resources they need to conduct a thorough investigation and bring the perpetrators to justice.",en,Tweet,1,13,3,1,1685.0,2025-01-02 00:07:38,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Crane, Elijah",Representative,Arizona,2,Republican,House: 2023-Present,Yes,RepEliCrane,'1874609127022039319',"Today should be a clear wake up call for the leadership in our law enforcement and intelligence agencies.

Their singular focus should be protecting the American people. 

No more distractions. No more politics. The stakes are too high.",en,Tweet,16,3798,857,233,37888.0,2025-01-02 00:10:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Thompson, Bennie G.",Representative,Mississippi,2,Democratic,House: 1993-Present,Yes,BennieGThompson,'1874610964408209828',"Big congratulations to the @SonicBoomOTS on representing MS02 on the grand stage of the Rose Parade in Pasadena! Your talent, hard work, and dedication make us all proud. Keep shining and showing the world what HBCU excellence is all about! https://t.co/annhK7xLCD",en,Tweet,11,748,90,20,12973.0,2025-01-02 00:17:37,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,video,https://video.twimg.com/ext_tw_video/1874606341936816128/pu/vid/avc1/1280x706/v3dLaurHOae48QHt.mp4?tag=12
"Risch, James E.",Senator,Idaho,,Republican,Senate: 2009-Present,Yes,SenatorRisch,'1874611138106982473',The horrific attack in New Orleans this morning is absolutely despicable. Vicki and I are praying for the victims and their loved ones and are grateful for the law enforcement who were quick to respond.,en,Tweet,0,54,4,43,5238.0,2025-01-02 00:18:18,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Arrington, Jodey C.",Representative,Texas,19,Republican,House: 2017-Present,Yes,RepArrington,'1874611142838120806',"My family and I are praying for those impacted by today’s terrorist attack in New Orleans. My wife, Anne, is from New Orleans, and the Crescent City has a very special place in my heart.

Moments like these remind us of what’s most important in life. Regardless of our differences, we are not enemies…we are Americans, we are family, and we are in this together.

Join me in praying for the comfort and healing of the victims and their families, and for success in bringing the perpetrators of this horrific attack to swift and certain justice.",en,Tweet,0,19,1,2,1354.0,2025-01-02 00:18:19,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Carey, Mike",Representative,Ohio,15,Republican,House: 2021-Present,Yes,RepMikeCarey,'1874612615873446012',"Happy New Year from the Careys! For my Ohio Valley friends—yes, that is a Belmont Hills hat! https://t.co/SN92Q6XYIz",en,Tweet,0,30,0,1,1038.0,2025-01-02 00:24:10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GgP2O2MWgAAWzgO.jpg,https://pbs.twimg.com/media/GgP2O2LXkAAgphF.jpg"
"Scott, Tim",Senator,South Carolina,,Republican,"Senate: 2013-Present, House: 2011-2013",Yes,SenatorTimScott,'1874612825953620305',My prayers are with the innocent civilians and people of Louisiana. Grateful for the first responders who ran into danger. 2/2,en,Reply,1,223,19,4,18063.0,2025-01-02 00:25:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
