Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Titus, Dina",Representative,Nevada,1,Democratic,"House: 2009-2011, 2013-Present",Yes,repdinatitus,'1920252309516529928',"Today I introduced the NURSE Act along with @RepJenKiggans. 

This bipartisan legislation would establish a grant program within the U.S. Department of Education to give high-need schools the ability to hire and retain additional school nurses. They play a critical role in our children’s learning and success. 
#NationalSchoolNursesDay #NationalNursesWeek",en,Tweet,1,8,2,5,856.0,2025-05-08 00:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
"Costa, Jim",Representative,California,21,Democratic,House: 2005-Present,Yes,RepJimCosta,'1920252441209004452',"Today, the U.S. House of Representatives held a moment of silence honoring Lance Cpl. Marcelino Gamino, a proud son of Fresno. His memory will not be forgotten. https://t.co/OXna4P8Hqs",en,Tweet,0,2,0,1,422.0,2025-05-08 00:00:33,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,video,https://video.twimg.com/ext_tw_video/1920252372229427200/pu/vid/avc1/1252x720/RFj9ZhaUp2p13iqv.mp4?tag=12
"Tran, Derek",Representative,California,45,Democratic,House: 2025-Present,Yes,RepDerekTranCA,'1920252494933877229',I grew up on SNAP and Medicaid. I know how critical these programs are to lift up working families. This isn’t about partisanship–reckless cuts are hurting children and seniors around the country. I'm ready to work across the aisle to deliver a budget that actually works for working families.,en,Tweet,0,12,0,3,391.0,2025-05-08 00:00:46,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
"Blunt Rochester, Lisa",Senator,Delaware,,Democratic,"Senate: 2025-Present, House: 2017-2025",Yes,SenLBR,'1920252555298549929',"We have a housing crisis in this country &amp; tariffs are going to make it worse.

But make no mistake, the impacts of this administration’s uncertainty economy will be felt everywhere — from costs continuing to rise to businesses slowing hiring.

On @weeknightmsnbc, I explained ⬇️ https://t.co/Iy9mbzS78c",en,Tweet,4,103,47,163,14500.0,2025-05-08 00:01:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1920213901028843520/vid/avc1/1080x1920/48H8-pr0n29UV8-3.mp4?tag=21
"Kaptur, Marcy",Representative,Ohio,9,Democratic,House: 1983-Present,Yes,RepMarcyKaptur,'1920252615239016617',"During his confirmation hearings, @ENERGY Secretary Wright said he would ""respond to issues of concern to Congress."" He has since ignored 4 bicameral requests for information in February, March, and April. His answers are disappointing, and the lack of response speaks for itself. https://t.co/oinRyGw6CD",en,Tweet,0,10,9,1,1173.0,2025-05-08 00:01:14,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1920245690027950081/vid/avc1/2024x1142/m83ufAnlZ42OW2Oi.mp4?tag=21
"Pallone, Frank",Representative,New Jersey,6,Democratic,House: 1987-Present,Yes,FrankPallone,'1920253340346094006',"Today I’m speaking at @CaringAcrossGen’s Vigil for Medicaid, to help put a spotlight on the millions of Americans that would lose their health care from Republicans’ catastrophic Medicaid cuts. 
 
I’m going to keep fighting like hell to stop these cuts. https://t.co/GCWj9yOpT4",en,Tweet,0,5,2,2,496.0,2025-05-08 00:04:07,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,"https://pbs.twimg.com/media/GqYcO6kWkAApSuE.jpg,https://pbs.twimg.com/media/GqYcO6LXcAAv8Rv.jpg"
"Collins, Mike",Representative,Georgia,10,Republican,House: 2023-Present,Yes,RepMikeCollins,'1920253440673943954',@BasedMikeLee Thought it was AI,en,Reply,0,12,0,2,588.0,2025-05-08 00:04:31,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,
"Husted, Jon",Senator,Ohio,,Republican,Senate: 2025-Present,Yes,SenJonHusted,'1920253548920455325',Grateful to sit down with Ohio members of the @NAMIC and hear about the policies affecting the insurance landscape. https://t.co/f1FtWEMLWl,en,Tweet,0,11,3,4,1457.0,2025-05-08 00:04:57,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GqYcbB5XAAAih-n.jpg
"Foxx, Virginia",Representative,North Carolina,5,Republican,House: 2005-Present,Yes,virginiafoxx,'1920253739870441565',Expel every last one of them.,en,Tweet,17,1920,199,385,101540.0,2025-05-08 00:05:42,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Sykes, Emilia Strong",Representative,Ohio,13,Democratic,House: 2023-Present,Yes,RepEmiliaSykes,'1920255283554590813',"Rep. Sykes helped secure a $10 million grant to help mend the strains in our community caused by the Akron Innerbelt. The City of Akron’s efforts to strategically rectify its missteps, while creating a stronger, more connected community and creating jobs and economic opportunity is needed for our future success.",en,Tweet,0,1,0,2,215.0,2025-05-08 00:11:50,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1920255061172621313/vid/avc1/1078x1338/k88j6Ftv40TQTTnP.mp4?tag=21
"Sykes, Emilia Strong",Representative,Ohio,13,Democratic,House: 2023-Present,Yes,RepEmiliaSykes,'1920255288189354115',"However, due to the actions of the Trump Administration, this funding has been paused with no end in sight, leaving the City of Akron, and many other communities across the country, with projects that will not see funding. Rep. Sykes will not stop fighting to ensure that the federal government follows through on its promises to our community.",en,Reply,0,0,0,1,138.0,2025-05-08 00:11:51,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Meuser, Daniel",Representative,Pennsylvania,9,Republican,House: 2019-Present,Yes,RepMeuser,'1920255629060345908',"Today, I joined @GOPMajorityWhip for a roundtable with small business stakeholders. From retail and real estate to restaurants, and Main Street entrepreneurs, we heard from job creators about the challenges they face and the opportunities we can unlock through pro-growth policy. https://t.co/lkl10BxbYK",en,Tweet,1,10,4,6,2862.0,2025-05-08 00:13:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/GqYeGchXEAAWWiv.jpg,https://pbs.twimg.com/media/GqYeGcVXUAAE9bl.jpg"
