Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Panetta, Jimmy",Representative,California,19,Democratic,House: 2017-Present,Yes,RepJimmyPanetta,'1894900256342462478',"Agriculture is the backbone of the Central Coast, and tariffs will raise prices, reduce jobs, and hurt farmers. I’ll continue to stand up for our country’s and community’s farmers in Congress.
https://t.co/kksVBw4SD0",en,Tweet,1,2,1,1,298.0,2025-02-27 00:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.montereyherald.com/2025/02/19/monterey-bay-economic-partnership-says-tariffs-will-weaken-ag-industry/,,
"Ivey, Glenn",Representative,Maryland,4,Democratic,House: 2023-Present,Yes,RepGlennIvey,'1894900256858427529',"It was good to join my colleagues @RepKweisiMfume , @RepSarahElfreth , @RepJohnnyO, along with @Sen_Alsobrooks , @ChrisVanHollen and the rest of the Maryland Delegation and with @DemocracyFwd to seek solutions for the crisis confronting federal workers. https://t.co/LipD8hJfOu",en,Tweet,0,6,2,6,420.0,2025-02-27 00:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,photo,"https://pbs.twimg.com/media/Gkv7k2tWEAAaxUB.jpg,https://pbs.twimg.com/media/Gkv7m9rXoAA4atY.jpg"
"Titus, Dina",Representative,Nevada,1,Democratic,"House: 2009-2011, 2013-Present",Yes,repdinatitus,'1894900255549726824',DOGE laid off workers who welcome visitors and care for our local public lands @lakemeadnps which contribute $358 million to the local economy. Musk is so bad at his job he’s LOSING us money! https://t.co/623DrxnknL,en,Tweet,3,29,17,21,1708.0,2025-02-27 00:00:01,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://nevadacurrent.com/2025/02/25/more-than-a-dozen-nps-workers-fired-from-lake-mead-as-part-of-mass-federal-workforce-purge/,,
"Green, Mark E.",Representative,Tennessee,7,Republican,House: 2019-2025,Yes,RepMarkGreen,'1894900474253381778',"With every criminal alien released, liberal mayors show their contempt for the Americans they swore to serve.  

https://t.co/NApDVYBmiy",en,Tweet,0,45,14,23,1353.0,2025-02-27 00:00:53,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,https://www.foxnews.com/us/anti-ice-activists-disrupt-la-operations-post-photos-names-phone-numbers-agents,,
"Mace, Nancy",Representative,South Carolina,1,Republican,House: 2021-Present,Yes,RepNancyMace,'1894900504356134961',"🚨 Biden used tech to HERD illegal immigrants in.

We're using tech to DEPORT them OUT.

Next week, we're holding a hearing on how AI & cutting-edge tools can help ICE round up & remove criminal aliens.

Time to clean house.

Who’s with us? Tune in 3/4 @ 10 AM and then the link to the oversight live in the comments:",en,Tweet,17,2010,289,186,76164.0,2025-02-27 00:01:00,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
"Vance, J. D.",Senator,Ohio,,Republican,Senate: 2023-2025,Yes,VP,'1894900511855256005',"President Trump’s cabinet is filled with the most qualified men and women in the country. 

I look forward to working with all of them as we implement his agenda and Make America Great Again 🇺🇸",en,Tweet,676,61964,8302,5499,1441079.0,2025-02-27 00:01:02,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Gillen, Laura",Representative,New York,4,Democratic,House: 2025-Present,Yes,RepLauraGillen,'1894900641585119444',"Glad to meet with John Scalesi from Bellmore and dedicated members of @DAVNYDept to thank them for their tireless work on behalf of disabled veterans on Long Island.

I’ll continue working alongside @DAVHQ to support our veterans and their families in #NY04. https://t.co/73tzIlYH9y",en,Tweet,1,4,0,3,565.0,2025-02-27 00:01:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",#NY04,,photo,https://pbs.twimg.com/media/GkwKFt4W8AAAWiS.jpg
"Jayapal, Pramila",Representative,Washington,7,Democratic,House: 2017-Present,Yes,RepJayapal,'1894900898498777216',"Hmm... maybe DOGE isn't qualified to be running the U.S. government???
https://t.co/C5yCmBkYpB",en,Tweet,2,56,14,31,3337.0,2025-02-27 00:02:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,https://www.businessinsider.com/elon-musk-doge-ebola-prevention-trump-cabinet-meeting-2025-2,,
"Swalwell, Eric",Representative,California,14,Democratic,House: 2013-Present,Yes,RepSwalwell,'1894901022226628749',"While DOGE is gutting the CDC during a measles outbreak, slashing the FAA as plane crashes rise, and underfunding the FBI as terrorism threatens us, our immigration system is still stuck in the past, and it’s hurting families.

This isn’t efficiency—it’s sabotage. It's time to ditch DOGE.",en,Tweet,106,5145,1595,2349,179674.0,2025-02-27 00:03:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,video,https://video.twimg.com/amplify_video/1894900807834710017/vid/avc1/720x1280/8V6VAx4-gL6v1R4C.mp4?tag=16
"Jackson, Ronny",Representative,Texas,13,Republican,House: 2021-Present,Yes,RepRonnyJackson,'1894901097136799940',"One year ago, historic wildfires swept through the Texas Panhandle, burning over a million acres, destroying homes and ranches, and tragically taking lives. But in the face of devastation, the courage of our first responders and the strength of our communities never wavered.

As your Representative, I’ll keep fighting to ensure TX-13 has the support it needs to recover and rebuild. Texans are tough, and no matter the challenge, we always rise to meet it.",en,Tweet,0,5,1,6,866.0,2025-02-27 00:03:21,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
