Name,Role,State,District,Party,Served,Active On X,Account,tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
"Titus, Dina",Representative,Nevada,1,Democratic,"House: 2009-2011, 2013-Present",Yes,repdinatitus,'1955766320143974673',"Let’s be clear: @POTUS is wielding a sledgehammer at our public education system. 

Education is a right, and families should not be required to pay for their children to go to school. Trump is putting up barriers against education for our most vulnerable communities.

https://t.co/gQbsDIkXbI",en,Tweet,0,18,8,26,2483.0,2025-08-14 00:00:01,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,
"Budd, Ted",Senator,North Carolina,,Republican,"Senate: 2023-Present, House: 2017-2023",Yes,SenTedBuddNC,'1955766321318388083',"Proud to visit @CatawbaValleyCC and see their incredible work preparing students for in-demand jobs. My PELL Act, which is now law, will help more NC students access high-quality, short-term workforce programs like these.
#100countytour https://t.co/PNksMCauU7",en,Tweet,0,19,0,12,1307.0,2025-08-14 00:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#100countytour,,photo,"https://pbs.twimg.com/media/GyP6LhdWoAIE3d2.jpg,https://pbs.twimg.com/media/GyP6LhgXMAEKZs1.jpg"
"Sykes, Emilia Strong",Representative,Ohio,13,Democratic,House: 2023-Present,Yes,RepEmiliaSykes,'1955766325315314038',"During a recent Call With Your Congresswoman with Rep. Sykes, Tony Gutowski of @AkronChildrens discussed the long-term risks of such massive cuts to Medicaid. https://t.co/Mcp4UxLdHg",en,Tweet,0,0,0,3,256.0,2025-08-14 00:00:02,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1955725097114775552/vid/avc1/1080x1920/tYjO-PW0QpAYu41L.mp4?tag=21
"Panetta, Jimmy",Representative,California,19,Democratic,House: 2017-Present,Yes,RepJimmyPanetta,'1955766509650772013',"During this latest round of office hours I met with residents facing challenges with Social Security, veterans’ benefits, and immigration services. My office is here to help cut through the red tape and make the federal government work for you. Proud to keep delivering results, one case at a time.",en,Tweet,0,2,0,0,300.0,2025-08-14 00:00:46,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,photo,"https://pbs.twimg.com/media/GyRHRp3WQAU6cKx.jpg,https://pbs.twimg.com/media/GyRHRmlWAAIhGM9.jpg,https://pbs.twimg.com/media/GyRHRn7WYAEWL7y.jpg"
"Cornyn, John",Senator,Texas,,Republican,Senate: 2002-Present,Yes,JohnCornyn,'1955767067103088960',"Hear, hear.  A wonderful human being dedicated to protecting those who cannot protect themselves.  God bless you Joe!",en,Tweet,1,15,2,4,6906.0,2025-08-14 00:02:59,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
"Kelly, Robin L.",Representative,Illinois,2,Democratic,House: 2013-Present,Yes,RepRobinKelly,'1955767073197424715',"President Trump's tariffs and his Big, Ugly Law are raising the cost of living, not helping. He’s raising inflation—hurting everyday Americans trying to afford groceries, rent, and bills who are already struggling. We need to lower costs for families, not make things worse.  https://t.co/3KXVMSuX0P",en,Tweet,1,8,4,2,434.0,2025-08-14 00:03:01,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>",,,,
"Biggs, Andy",Representative,Arizona,5,Republican,House: 2017-Present,Yes,RepAndyBiggsAZ,'1955767502404751460',"The Judge is in.

President Trump and Judge Pirro are restoring law and order.",en,Tweet,8,729,132,64,20543.0,2025-08-14 00:04:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
"Landsman, Greg",Representative,Ohio,1,Democratic,House: 2023-Present,Yes,RepGregLandsman,'1955767814230323442',A day in my life as a member of Congress — in session edition.👇🏻 https://t.co/hiymFonNqx,en,Tweet,0,8,0,0,562.0,2025-08-14 00:05:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,video,https://video.twimg.com/amplify_video/1955767625926971393/vid/avc1/720x1280/IXByR_H4bmsDY2-1.mp4?tag=21
"Schatz, Brian",Senator,Hawaii,,Democratic,Senate: 2012-Present,Yes,SenBrianSchatz,'1955768167059309047',Great to join the Waimea Community Association and answer questions from Big Island residents. Mahalo to the hundreds of people who joined me to share their priorities and concerns. We will continue working together to protect Hawai‘i Island communities and deliver federal resources.,en,Tweet,0,9,1,2,1043.0,2025-08-14 00:07:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GyRIyGEXIAINi_a.jpg
"Trahan, Lori",Representative,Massachusetts,3,Democratic,House: 2019-Present,Yes,RepLoriTrahan,'1955768463068422647',"Very proud to join Gardner Mayor Mike Nicholson and Fire Chief Greg Lagoy to celebrate three new emergency vehicles that were purchased using federal funding I secured for the city!

This new rescue truck, fire engine and ambulance will make the Chair City safer for years to come.",en,Tweet,0,8,1,4,661.0,2025-08-14 00:08:32,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,photo,https://pbs.twimg.com/media/GyRJAnsWkAMYth_.jpg
